geometry
LINESTRING (144.954972 -37.82087, 144.954928 -37.820881)
LINESTRING (144.954928 -37.820881, 144.954886 -37.820892)
LINESTRING (144.954886 -37.820892, 144.954816 -37.820942)
LINESTRING (144.951164 -37.812588, 144.951391 -37.813067)
LINESTRING (144.951496 -37.813391, 144.951434 -37.813387)
LINESTRING (144.951434 -37.813387, 144.95136 -37.813383)
LINESTRING (144.949067 -37.824136, 144.94862 -37.824103)
LINESTRING (144.953353 -37.823351, 144.953166 -37.82337)
LINESTRING (144.953166 -37.82337, 144.952971 -37.823324)
LINESTRING (144.952971 -37.823324, 144.952874 -37.823252)
LINESTRING (144.952874 -37.823252, 144.952831 -37.8232)
LINESTRING (144.952831 -37.8232, 144.951865 -37.823192)
LINESTRING (144.951865 -37.823192, 144.951743 -37.823165)
LINESTRING (144.955546 -37.822651, 144.95548 -37.822667)
LINESTRING (144.95548 -37.822667, 144.955462 -37.822737)
LINESTRING (144.955462 -37.822737, 144.955443 -37.822791)
LINESTRING (144.955443 -37.822791, 144.955412 -37.822852)
LINESTRING (144.955412 -37.822852, 144.955362 -37.822913)
LINESTRING (144.955362 -37.822913, 144.955306 -37.822958)
LINESTRING (144.955306 -37.822958, 144.955245 -37.822991)
LINESTRING (144.955245 -37.822991, 144.955178 -37.823013)
LINESTRING (144.955178 -37.823013, 144.955098 -37.823022)
LINESTRING (144.955098 -37.823022, 144.955006 -37.823019)
LINESTRING (144.955006 -37.823019, 144.954946 -37.82301)
LINESTRING (144.954946 -37.82301, 144.954888 -37.822996)
LINESTRING (144.954888 -37.822996, 144.954805 -37.822965)
LINESTRING (144.954805 -37.822965, 144.954751 -37.822943)
LINESTRING (144.954751 -37.822943, 144.95452 -37.823012)
LINESTRING (144.95452 -37.823012, 144.954483 -37.82307)
LINESTRING (144.954483 -37.82307, 144.954121 -37.823181)
LINESTRING (144.954121 -37.823181, 144.954017 -37.823157)
LINESTRING (144.954017 -37.823157, 144.953353 -37.823351)
LINESTRING (144.953733 -37.810142, 144.953816 -37.810093)
LINESTRING (144.953816 -37.810093, 144.954 -37.809946)
LINESTRING (144.954 -37.809946, 144.954153 -37.809772)
LINESTRING (144.954153 -37.809772, 144.954251 -37.809653)
LINESTRING (144.954251 -37.809653, 144.954463 -37.809412)
LINESTRING (144.954463 -37.809412, 144.954492 -37.809372)
LINESTRING (144.954492 -37.809372, 144.954528 -37.80932)
LINESTRING (144.954528 -37.80932, 144.954636 -37.809166)
LINESTRING (144.954636 -37.809166, 144.954678 -37.809098)
LINESTRING (144.954678 -37.809098, 144.954712 -37.809025)
LINESTRING (144.954712 -37.809025, 144.954824 -37.808705)
LINESTRING (144.954824 -37.808705, 144.954823 -37.808658)
LINESTRING (144.955575 -37.810127, 144.95555 -37.810135)
LINESTRING (144.95555 -37.810135, 144.95553 -37.810142)
LINESTRING (144.95553 -37.810142, 144.955511 -37.810148)
LINESTRING (144.955511 -37.810148, 144.955199 -37.81022)
LINESTRING (144.955199 -37.81022, 144.955036 -37.810363)
LINESTRING (144.955036 -37.810363, 144.954855 -37.810532)
LINESTRING (144.954855 -37.810532, 144.954601 -37.811323)
LINESTRING (144.954601 -37.811323, 144.954561 -37.811477)
LINESTRING (144.954561 -37.811477, 144.954485 -37.811669)
LINESTRING (144.954485 -37.811669, 144.954323 -37.811958)
LINESTRING (144.954323 -37.811958, 144.954212 -37.812113)
LINESTRING (144.954212 -37.812113, 144.954139 -37.812214)
LINESTRING (144.954139 -37.812214, 144.954023 -37.812312)
LINESTRING (144.954023 -37.812312, 144.954012 -37.812327)
LINESTRING (144.966009 -37.817797, 144.965835 -37.817386)
LINESTRING (144.965171 -37.818289, 144.965157 -37.818309)
LINESTRING (144.965157 -37.818309, 144.965277 -37.81857)
LINESTRING (144.965277 -37.81857, 144.965307 -37.818633)
LINESTRING (144.965307 -37.818633, 144.965327 -37.818677)
LINESTRING (144.965327 -37.818677, 144.965391 -37.818808)
LINESTRING (144.965391 -37.818808, 144.965414 -37.818857)
LINESTRING (144.965414 -37.818857, 144.965438 -37.818908)
LINESTRING (144.965438 -37.818908, 144.96546 -37.818957)
LINESTRING (144.96546 -37.818957, 144.965498 -37.819042)
LINESTRING (144.965498 -37.819042, 144.965502 -37.819064)
LINESTRING (144.965502 -37.819064, 144.96551 -37.819084)
LINESTRING (144.96551 -37.819084, 144.96553 -37.819078)
LINESTRING (144.965228 -37.818265, 144.965234 -37.818278)
LINESTRING (144.965234 -37.818278, 144.96527 -37.81835)
LINESTRING (144.96527 -37.81835, 144.965293 -37.818396)
LINESTRING (144.966107 -37.818008, 144.966114 -37.818022)
LINESTRING (144.966114 -37.818022, 144.966149 -37.818096)
LINESTRING (144.953286 -37.818737, 144.953301 -37.818757)
LINESTRING (144.953301 -37.818757, 144.953538 -37.818697)
LINESTRING (144.953538 -37.818697, 144.953552 -37.818737)
LINESTRING (144.965432 -37.816409, 144.965265 -37.816016)
LINESTRING (144.965265 -37.816016, 144.965254 -37.815991)
LINESTRING (144.954942 -37.821253, 144.954938 -37.82127)
LINESTRING (144.954938 -37.82127, 144.954862 -37.821418)
LINESTRING (144.954862 -37.821418, 144.954811 -37.821445)
LINESTRING (144.954811 -37.821445, 144.954938 -37.82149)
LINESTRING (144.954938 -37.82149, 144.954972 -37.82151)
LINESTRING (144.954972 -37.82151, 144.954997 -37.821529)
LINESTRING (144.954997 -37.821529, 144.955025 -37.821562)
LINESTRING (144.955025 -37.821562, 144.955065 -37.82164)
LINESTRING (144.955065 -37.82164, 144.955083 -37.821684)
LINESTRING (144.955083 -37.821684, 144.955106 -37.821718)
LINESTRING (144.955106 -37.821718, 144.955167 -37.821779)
LINESTRING (144.955167 -37.821779, 144.955193 -37.821823)
LINESTRING (144.955193 -37.821823, 144.955238 -37.821909)
LINESTRING (144.955238 -37.821909, 144.955381 -37.822227)
LINESTRING (144.955381 -37.822227, 144.955501 -37.822494)
LINESTRING (144.955501 -37.822494, 144.955584 -37.822528)
LINESTRING (144.952647 -37.815604, 144.952723 -37.815582)
LINESTRING (144.952723 -37.815582, 144.952745 -37.815577)
LINESTRING (144.952745 -37.815577, 144.953045 -37.815488)
LINESTRING (144.956071 -37.823578, 144.956037 -37.823641)
LINESTRING (144.956037 -37.823641, 144.956028 -37.823653)
LINESTRING (144.956028 -37.823653, 144.956014 -37.823674)
LINESTRING (144.956014 -37.823674, 144.955991 -37.823693)
LINESTRING (144.956071 -37.823578, 144.9559 -37.82321)
LINESTRING (144.9559 -37.82321, 144.955745 -37.822876)
LINESTRING (144.955745 -37.822876, 144.955629 -37.822627)
LINESTRING (144.955629 -37.822627, 144.955584 -37.822528)
LINESTRING (144.956163 -37.823552, 144.956253 -37.823742)
LINESTRING (144.956266 -37.823522, 144.956345 -37.823686)
LINESTRING (144.96489 -37.818072, 144.964883 -37.818049)
LINESTRING (144.964883 -37.818049, 144.964923 -37.818132)
LINESTRING (144.951558 -37.813521, 144.951496 -37.813391)
LINESTRING (144.951496 -37.813391, 144.951459 -37.813312)
LINESTRING (144.953034 -37.817176, 144.953122 -37.817147)
